"Statistic Label","CensusYear","Sex","At Work School or College","Time Leaving Home","Means of Travel","UNIT","VALUE"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","All departure times","Train, DART or LUAS","Number","457"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","All departure times","Motorcycle or scooter","Number","0"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","All departure times","Motor car: Driver","Number","0"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","All departure times","Motor car: Passenger","Number","153782"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","All departure times","Van","Number","485"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","All departure times","Other, incl. lorry","Number","197"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","All departure times","Not stated","Number","24726"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","All departure times","All means of travel","Number","275077"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","Before 06:30","On foot","Number","95"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","Before 06:30","Bicycle","Number","5"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","Before 06:30","Bus, minibus or coach","Number","46"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","Before 06:30","Train, DART or LUAS","Number","4"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","Before 06:30","Motorcycle or scooter","Number","0"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","Before 06:30","Motor car: Driver","Number","0"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","Before 06:30","Motor car: Passenger","Number","246"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","Before 06:30","Van","Number","3"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","Before 06:30","Other, incl. lorry","Number","0"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","Before 06:30","Not stated","Number","20"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","Before 06:30","All means of travel","Number","419"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","06:30 - 07:00","On foot","Number","147"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","06:30 - 07:00","Bicycle","Number","11"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","06:30 - 07:00","Bus, minibus or coach","Number","152"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","06:30 - 07:00","Train, DART or LUAS","Number","9"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","06:30 - 07:00","Motorcycle or scooter","Number","0"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","06:30 - 07:00","Motor car: Driver","Number","0"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","06:30 - 07:00","Motor car: Passenger","Number","811"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","06:30 - 07:00","Van","Number","7"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","06:30 - 07:00","Other, incl. lorry","Number","0"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","06:30 - 07:00","Not stated","Number","38"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","06:30 - 07:00","All means of travel","Number","1175"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","07:01 - 07:30","On foot","Number","330"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","07:01 - 07:30","Bicycle","Number","22"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","07:01 - 07:30","Bus, minibus or coach","Number","735"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","07:01 - 07:30","Train, DART or LUAS","Number","68"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","07:01 - 07:30","Motorcycle or scooter","Number","0"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","07:01 - 07:30","Motor car: Driver","Number","0"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","07:01 - 07:30","Motor car: Passenger","Number","2787"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","07:01 - 07:30","Van","Number","11"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","07:01 - 07:30","Other, incl. lorry","Number","3"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","07:01 - 07:30","Not stated","Number","75"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","07:01 - 07:30","All means of travel","Number","4031"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","07:31 - 08:00","On foot","Number","3800"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","07:31 - 08:00","Bicycle","Number","565"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","07:31 - 08:00","Bus, minibus or coach","Number","4246"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","07:31 - 08:00","Train, DART or LUAS","Number","194"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","07:31 - 08:00","Motorcycle or scooter","Number","0"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","07:31 - 08:00","Motor car: Driver","Number","0"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","07:31 - 08:00","Motor car: Passenger","Number","16287"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","07:31 - 08:00","Van","Number","67"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","07:31 - 08:00","Other, incl. lorry","Number","20"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","07:31 - 08:00","Not stated","Number","383"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","07:31 - 08:00","All means of travel","Number","25562"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","08:01 - 08:30","On foot","Number","28774"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","08:01 - 08:30","Bicycle","Number","2446"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","08:01 - 08:30","Bus, minibus or coach","Number","8333"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","08:01 - 08:30","Train, DART or LUAS","Number","137"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","08:01 - 08:30","Motorcycle or scooter","Number","0"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","08:01 - 08:30","Motor car: Driver","Number","0"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","08:01 - 08:30","Motor car: Passenger","Number","57069"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","08:01 - 08:30","Van","Number","149"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","08:01 - 08:30","Other, incl. lorry","Number","84"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","08:01 - 08:30","Not stated","Number","1301"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","08:01 - 08:30","All means of travel","Number","98293"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","08:31 - 09:00","On foot","Number","28900"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","08:31 - 09:00","Bicycle","Number","1303"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","08:31 - 09:00","Bus, minibus or coach","Number","9433"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","08:31 - 09:00","Train, DART or LUAS","Number","22"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","08:31 - 09:00","Motorcycle or scooter","Number","0"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","08:31 - 09:00","Motor car: Driver","Number","0"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","08:31 - 09:00","Motor car: Passenger","Number","63645"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","08:31 - 09:00","Van","Number","201"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","08:31 - 09:00","Other, incl. lorry","Number","57"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","08:31 - 09:00","Not stated","Number","1429"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","08:31 - 09:00","All means of travel","Number","104990"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","09:01 - 09:30","On foot","Number","3018"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","09:01 - 09:30","Bicycle","Number","113"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","09:01 - 09:30","Bus, minibus or coach","Number","947"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","09:01 - 09:30","Train, DART or LUAS","Number","5"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","09:01 - 09:30","Motorcycle or scooter","Number","0"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","09:01 - 09:30","Motor car: Driver","Number","0"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","09:01 - 09:30","Motor car: Passenger","Number","10710"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","09:01 - 09:30","Van","Number","38"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","09:01 - 09:30","Other, incl. lorry","Number","11"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","09:01 - 09:30","Not stated","Number","203"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","09:01 - 09:30","All means of travel","Number","15045"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","After 09:30","On foot","Number","218"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","After 09:30","Bicycle","Number","9"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","After 09:30","Bus, minibus or coach","Number","44"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","After 09:30","Train, DART or LUAS","Number","1"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","After 09:30","Motorcycle or scooter","Number","0"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","After 09:30","Motor car: Driver","Number","0"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","After 09:30","Motor car: Passenger","Number","337"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","After 09:30","Van","Number","1"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","After 09:30","Other, incl. lorry","Number","1"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","After 09:30","Not stated","Number","29"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","After 09:30","All means of travel","Number","640"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","Not stated","On foot","Number","1355"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","Not stated","Bicycle","Number","76"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","Not stated","Bus, minibus or coach","Number","307"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","Not stated","Train, DART or LUAS","Number","17"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","Not stated","Motorcycle or scooter","Number","0"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","Not stated","Motor car: Driver","Number","0"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","Not stated","Motor car: Passenger","Number","1890"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","Not stated","Van","Number","8"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","Not stated","Other, incl. lorry","Number","21"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","Not stated","Not stated","Number","21248"
"Population Usually Resident and Present in the State","2022","Female","Children at school aged between 5 and 12 years","Not stated","All means of travel","Number","24922"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","All departure times","On foot","Number","39306"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","All departure times","Bicycle","Number","1459"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","All departure times","Bus, minibus or coach","Number","50256"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","All departure times","Train, DART or LUAS","Number","3778"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","All departure times","Motorcycle or scooter","Number","27"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","All departure times","Motor car: Driver","Number","2917"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","All departure times","Motor car: Passenger","Number","81723"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","All departure times","Van","Number","279"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","All departure times","Other, incl. lorry","Number","157"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","All departure times","Not stated","Number","10964"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","All departure times","All means of travel","Number","190866"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","Before 06:30","On foot","Number","249"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","Before 06:30","Bicycle","Number","5"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","Before 06:30","Bus, minibus or coach","Number","444"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","Before 06:30","Train, DART or LUAS","Number","83"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","Before 06:30","Motorcycle or scooter","Number","0"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","Before 06:30","Motor car: Driver","Number","25"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","Before 06:30","Motor car: Passenger","Number","498"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","Before 06:30","Van","Number","0"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","Before 06:30","Other, incl. lorry","Number","3"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","Before 06:30","Not stated","Number","10"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","Before 06:30","All means of travel","Number","1317"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","06:30 - 07:00","On foot","Number","110"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","06:30 - 07:00","Bicycle","Number","7"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","06:30 - 07:00","Bus, minibus or coach","Number","1245"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","06:30 - 07:00","Train, DART or LUAS","Number","293"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","06:30 - 07:00","Motorcycle or scooter","Number","0"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","06:30 - 07:00","Motor car: Driver","Number","56"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","06:30 - 07:00","Motor car: Passenger","Number","570"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","06:30 - 07:00","Van","Number","9"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","06:30 - 07:00","Other, incl. lorry","Number","2"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","06:30 - 07:00","Not stated","Number","25"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","06:30 - 07:00","All means of travel","Number","2317"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","07:01 - 07:30","On foot","Number","489"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","07:01 - 07:30","Bicycle","Number","45"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","07:01 - 07:30","Bus, minibus or coach","Number","8050"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","07:01 - 07:30","Train, DART or LUAS","Number","740"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","07:01 - 07:30","Motorcycle or scooter","Number","0"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","07:01 - 07:30","Motor car: Driver","Number","138"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","07:01 - 07:30","Motor car: Passenger","Number","2479"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","07:01 - 07:30","Van","Number","13"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","07:01 - 07:30","Other, incl. lorry","Number","10"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","07:01 - 07:30","Not stated","Number","47"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","07:01 - 07:30","All means of travel","Number","12011"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","07:31 - 08:00","On foot","Number","7509"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","07:31 - 08:00","Bicycle","Number","566"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","07:31 - 08:00","Bus, minibus or coach","Number","28007"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","07:31 - 08:00","Train, DART or LUAS","Number","1501"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","07:31 - 08:00","Motorcycle or scooter","Number","7"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","07:31 - 08:00","Motor car: Driver","Number","748"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","07:31 - 08:00","Motor car: Passenger","Number","20849"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","07:31 - 08:00","Van","Number","88"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","07:31 - 08:00","Other, incl. lorry","Number","29"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","07:31 - 08:00","Not stated","Number","321"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","07:31 - 08:00","All means of travel","Number","59625"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","08:01 - 08:30","On foot","Number","22703"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","08:01 - 08:30","Bicycle","Number","664"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","08:01 - 08:30","Bus, minibus or coach","Number","10059"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","08:01 - 08:30","Train, DART or LUAS","Number","732"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","08:01 - 08:30","Motorcycle or scooter","Number","15"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","08:01 - 08:30","Motor car: Driver","Number","1439"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","08:01 - 08:30","Motor car: Passenger","Number","45802"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","08:01 - 08:30","Van","Number","125"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","08:01 - 08:30","Other, incl. lorry","Number","63"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","08:01 - 08:30","Not stated","Number","499"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","08:01 - 08:30","All means of travel","Number","82101"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","08:31 - 09:00","On foot","Number","6727"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","08:31 - 09:00","Bicycle","Number","122"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","08:31 - 09:00","Bus, minibus or coach","Number","1223"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","08:31 - 09:00","Train, DART or LUAS","Number","143"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","08:31 - 09:00","Motorcycle or scooter","Number","3"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","08:31 - 09:00","Motor car: Driver","Number","400"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","08:31 - 09:00","Motor car: Passenger","Number","10057"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","08:31 - 09:00","Van","Number","34"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","08:31 - 09:00","Other, incl. lorry","Number","13"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","08:31 - 09:00","Not stated","Number","147"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","08:31 - 09:00","All means of travel","Number","18869"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","09:01 - 09:30","On foot","Number","236"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","09:01 - 09:30","Bicycle","Number","13"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","09:01 - 09:30","Bus, minibus or coach","Number","203"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","09:01 - 09:30","Train, DART or LUAS","Number","35"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","09:01 - 09:30","Motorcycle or scooter","Number","0"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","09:01 - 09:30","Motor car: Driver","Number","21"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","09:01 - 09:30","Motor car: Passenger","Number","334"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","09:01 - 09:30","Van","Number","3"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","09:01 - 09:30","Other, incl. lorry","Number","1"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","09:01 - 09:30","Not stated","Number","7"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","09:01 - 09:30","All means of travel","Number","853"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","After 09:30","On foot","Number","434"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","After 09:30","Bicycle","Number","7"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","After 09:30","Bus, minibus or coach","Number","452"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","After 09:30","Train, DART or LUAS","Number","171"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","After 09:30","Motorcycle or scooter","Number","1"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","After 09:30","Motor car: Driver","Number","54"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","After 09:30","Motor car: Passenger","Number","309"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","After 09:30","Van","Number","1"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","After 09:30","Other, incl. lorry","Number","0"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","After 09:30","Not stated","Number","15"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","After 09:30","All means of travel","Number","1444"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","Not stated","On foot","Number","849"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","Not stated","Bicycle","Number","30"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","Not stated","Bus, minibus or coach","Number","573"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","Not stated","Train, DART or LUAS","Number","80"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","Not stated","Motorcycle or scooter","Number","1"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","Not stated","Motor car: Driver","Number","36"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","Not stated","Motor car: Passenger","Number","825"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","Not stated","Van","Number","6"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","Not stated","Other, incl. lorry","Number","36"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","Not stated","Not stated","Number","9893"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged between 13 and 18 years","Not stated","All means of travel","Number","12329"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged 19 years and over","All departure times","On foot","Number","22186"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged 19 years and over","All departure times","Bicycle","Number","2187"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged 19 years and over","All departure times","Bus, minibus or coach","Number","27194"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged 19 years and over","All departure times","Train, DART or LUAS","Number","8573"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged 19 years and over","All departure times","Motorcycle or scooter","Number","137"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged 19 years and over","All departure times","Motor car: Driver","Number","26049"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged 19 years and over","All departure times","Motor car: Passenger","Number","9733"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged 19 years and over","All departure times","Van","Number","48"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged 19 years and over","All departure times","Other, incl. lorry","Number","123"
"Population Usually Resident and Present in the State","2022","Female","Students at school or college aged 19 years and over","All departure times","Not stated","Number","12197"
